	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU3346	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	NA
OTU3347	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Eichleriella	Eichleriella shearii
OTU3348	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	NA	NA
OTU3349	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	NA
OTU3350	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU3351	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU3352	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	NA
OTU3353	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3354	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3355	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	NA	NA	NA
OTU3356	Fungi	Rozellomycota	NA	NA	NA	NA	NA
OTU3357	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Cerrena	Cerrena caperata
OTU3358	Fungi	NA	NA	NA	NA	NA	NA
OTU3359	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU3360	Fungi	NA	NA	NA	NA	NA	NA
OTU3361	Fungi	NA	NA	NA	NA	NA	NA
OTU3362	Stramenopila	NA	NA	NA	NA	NA	NA
OTU3363	Fungi	Ascomycota	Leotiomycetes	NA	NA	NA	NA
OTU3364	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU3365	Fungi	NA	NA	NA	NA	NA	NA
OTU3367	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	NA	NA
OTU3368	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
OTU3369	Fungi	NA	NA	NA	NA	NA	NA
OTU3371	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Choanephoraceae	Blakeslea	Blakeslea trispora
OTU3375	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU3376	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU3377	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	NA
OTU3378	NA	NA	NA	NA	NA	NA	NA
OTU3379	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3380	NA	NA	NA	NA	NA	NA	NA
OTU3381	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3383	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	NA	NA
OTU3385	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3386	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora trigonosperma
OTU3388	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Fusariella	NA
OTU3389	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Xenocamarosporium	Xenocamarosporium acaciae
OTU3391	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3393	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU3394	Fungi	Mucoromycota	Endogonomycetes	Endogonales	NA	NA	NA
OTU3396	Fungi	Rozellomycota	NA	NA	NA	NA	NA
OTU3397	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU3398	Fungi	Mucoromycota	Endogonomycetes	Endogonales	NA	NA	NA
OTU3399	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Deconica	NA
OTU3400	Fungi	Rozellomycota	NA	NA	NA	NA	NA
OTU3402	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Irpex	Irpex latemarginatus
OTU3403	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus congregatus
OTU3404	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus sabulicola
